sa2_main11,sa2_name11,year,Average Super,Average Investment Income,Average other income,Total income earners,Total income,Average total income,Average Wage and salary income
307031187,Stanthorpe,2010,17855,5500,1623,3170,98,30854,32999
307031188,Stanthorpe Region,2010,21899,5761,1611,3012,93,30707,32954
307031189,Warwick,2010,17440,4855,1243,7726,264,34227,38176
308011190,Central Highlands - East,2010,14678,1911,1336,3957,243,61361,67476
308011191,Central Highlands - West,2010,17004,4271,1526,4967,238,47917,57552
308011192,Emerald,2010,15353,5962,1187,8002,463,57864,59810
308021193,Agnes Water - Miriam Vale,2010,19910,4841,1947,2775,98,35271,43205
308021194,Banana,2010,15086,4972,2603,4893,209,42644,52765
308021195,Biloela,2010,8890,3602,1253,3439,173,50352,55598
308021196,Boyne Island - Tannum Sands,2010,15790,3185,1177,5367,297,55260,58170
308021197,Callemondah,2010,0,3256,0,29,2,56053,58233
308021198,Clinton - New Auckland,2010,15752,3185,1177,6135,339,55260,58172
308021199,Gladstone,2010,15723,3184,1178,3507,194,55262,58176
308021200,Gladstone Hinterland,2010,14654,2998,1122,5650,305,53955,57972
308021201,Kin Kora - Sun Valley,2010,15898,3185,1179,2308,128,55256,58165
308021202,South Trees,2010,0,0,0,0,0,0,0
308021203,Telina - Toolooa,2010,15841,3186,1178,3085,171,55255,58166
308021204,West Gladstone,2010,15704,3184,1178,2891,160,55267,58166
308031205,Berserker,2010,16977,3939,1454,3884,178,45882,46960
308031206,Bouldercombe,2010,16855,5061,1324,993,42,41974,49356
308031207,Emu Park,2010,19598,6735,1729,2365,103,43557,47444
308031208,Frenchville - Mount Archer,2010,16870,3939,1456,4956,227,45881,46959
308031209,Glenlee - Rockyview,2010,19552,4080,1439,2419,115,47726,50878
308031210,Gracemere,2010,17804,4864,1617,4644,200,43041,50170
308031211,Lakes Creek,2010,16832,3942,1455,2713,125,45882,46959
308031212,Mount Morgan,2010,12635,1850,2260,1068,43,39858,43332
308031213,Norman Gardens,2010,16853,3939,1455,4733,217,45874,46958
308031214,Park Avenue,2010,17022,3937,1454,2877,132,45873,46949
308031215,Parkhurst - Kawana,2010,17193,4205,1502,3457,156,45091,47782
308031216,Rockhampton - West,2010,16393,6519,1676,3261,155,47576,47838
308031217,Rockhampton City,2010,16467,6517,1679,1924,92,47590,47852
308031218,Rockhampton Region - East,2010,17723,4943,1661,1654,73,44137,49510
308031219,Rockhampton Region - North,2010,18915,6397,1984,2189,98,44851,49392
308031220,Rockhampton Region - West,2010,17987,4864,1621,1408,61,43027,50156
308031221,Shoalwater Bay,2010,0,0,330,6,0,48281,47669
308031222,The Range - Allenstown,2010,16326,6519,1679,4384,209,47580,47840
308031223,Yeppoon,2010,18339,6929,2157,8976,431,48016,50164
309011224,Broadbeach Waters,2010,21938,15512,5695,4866,227,46564,43502
309011225,Burleigh Heads,2010,18869,7288,2431,4759,193,40558,42321
309011226,Burleigh Waters,2010,19007,7199,2425,8564,350,40863,42580
309011227,Mermaid Beach - Broadbeach,2010,21866,15513,5690,6661,310,46561,43502
309011228,Mermaid Waters,2010,21905,15512,5689,7612,354,46562,43503
309011229,Miami,2010,18965,7191,2424,3931,161,40853,42583
309021230,Coolangatta,2010,18786,9861,2625,3076,118,38241,39898
309021231,Currumbin - Tugun,2010,23541,7852,2994,6493,275,42413,43135
309021232,Currumbin Waters,2010,24953,9695,2556,5041,222,43945,43674
309021233,Elanora,2010,21887,7128,2421,6846,276,40360,41802
309021234,Palm Beach,2010,21809,7119,2422,8183,330,40351,41795
309031235,Arundel,2010,22774,5898,2937,5647,234,41425,42609
309031236,Biggera Waters,2010,23039,14356,3391,3645,165,45270,44252
309031237,Coombabah,2010,23118,14361,3387,5620,255,45283,44261
309031238,Labrador,2010,19172,7120,3327,8927,336,37657,38303
309031239,Paradise Point - Hollywell,2010,23136,14361,3388,4953,224,45277,44261
309031240,Runaway Bay,2010,23131,14361,3390,5126,232,45278,44266
309041241,Guanaba - Springbrook,2010,19634,6071,3059,2295,95,41560,42776
309041242,Tamborine - Canungra,2010,23391,7066,3218,7378,306,41460,45821
309051243,Currumbin Valley - Tallebudgera,2010,24310,13506,3781,4048,191,47217,45529
309051244,Mudgeeraba - Bonogin,2010,21243,8296,2865,10105,431,42683,43044
309051245,Reedy Creek - Andrews,2010,19332,4834,3468,3873,156,40193,41884
309061246,Carrara,2010,19058,5295,3211,6539,265,40476,41891
309061247,Highland Park,2010,19632,6048,3109,4821,198,40980,42144
309061248,Nerang - Mount Nathan,2010,19052,5293,3210,10644,431,40473,41889
309061249,Pacific Pines - Gaven,2010,19016,5294,3209,9257,375,40473,41890
309061250,Worongary - Tallai,2010,21214,8295,2865,4317,184,42682,43045
309071251,Coomera,2010,16442,3705,2849,4473,196,43738,45141
309071252,Helensvale,2010,22293,14728,5043,9290,479,51567,48755
309071253,Hope Island,2010,22252,14723,5022,4987,257,51495,48713
309071254,Jacobs Well - Alberton,2010,17559,4635,2674,1783,78,43839,45395
309071255,Ormeau - Yatala,2010,17903,4780,2575,8716,398,45673,47311
309071256,Oxenford - Maudsland,2010,19273,5142,2951,8483,366,43096,44835
309071257,Pimpama,2010,16425,3704,2850,1635,72,43731,45141
309071258,Upper Coomera - Willow Vale,2010,16769,3816,2847,12282,537,43679,45114
309081259,Clear Island Waters,2010,21398,9052,3827,2484,105,42071,42448
309081260,Merrimac,2010,21493,8957,3806,3934,165,42002,42432
309081261,Robina,2010,21454,8942,3825,11816,495,41871,42527
309081262,Varsity Lakes,2010,19362,4243,3799,7132,286,40030,41745
309091263,Ashmore,2010,22701,5896,2936,6836,283,41433,42621
309091264,Molendinar,2010,22696,5900,2941,3664,152,41422,42608
309091265,Parkwood,2010,22662,5896,2937,4977,206,41431,42619
309091266,Southport,2010,19169,7118,3324,15416,581,37659,38305
309101267,Benowa,2010,27742,21489,5114,5029,247,49111,42634
309101268,Bundall,2010,27627,21486,5117,2641,130,49116,42641
309101269,Main Beach,2010,27709,21489,5112,2202,108,49108,42626
309101270,Surfers Paradise,2010,27736,21485,5118,12397,609,49114,42635
310011271,Darra - Sumner,2010,21007,3637,1592,1714,71,41124,43372
310011272,Durack,2010,18015,3761,2158,2803,107,38107,39729
310011273,Forest Lake - Doolandella,2010,21878,1753,2351,14552,650,44670,46889
310011274,Inala - Richlands,2010,17638,3170,2023,6457,236,36500,38345
310011275,Oxley (Qld),2010,20302,8206,2818,4150,242,58183,57589
310011276,Wacol,2010,19306,2293,1485,2050,85,41662,43749
310021277,Boonah,2010,19596,4508,1681,5960,214,35900,40960
310021278,Esk,2010,20943,4433,3671,2229,75,33709,40968
310021279,Lake Manchester - England Creek,2010,0,0,0,0,0,0,0
310021280,Lockyer Valley - East,2010,20057,3494,2413,8587,317,36954,40024
310021281,Lowood,2010,18421,3464,1910,6072,247,40694,44357
310021282,Rosewood,2010,19920,3904,2101,6280,274,43651,47306
310031283,Brassall,2010,19447,2531,1582,4723,199,42163,44180
310031284,Bundamba,2010,20437,2117,1650,3739,148,39505,41877
310031285,Churchill - Yamanto,2010,19536,2531,1586,3024,128,42160,44175
310031286,Ipswich - Central,2010,19516,2531,1583,3414,144,42160,44179
310031287,Ipswich - East,2010,19956,2358,1597,8394,344,40958,43129
310031288,Ipswich - North,2010,20228,3942,2193,2348,109,46403,48817
310031289,Karalee - Barellan Point,2010,20352,4064,2282,2631,123,46835,49291
310031290,Karana Downs,2010,20282,4056,2232,3271,153,46818,49292
310031291,Leichhardt - One Mile,2010,19566,2668,1652,3448,147,42510,44555
310031292,North Ipswich - Tivoli,2010,19450,2531,1587,3231,136,42160,44176
310031293,Raceview,2010,19442,2531,1583,7267,306,42160,44178
310031294,Ripley,2010,20192,3912,2179,1550,72,46294,48689
310031295,Riverview,2010,19326,1299,2246,1280,47,36990,40034
310041296,Bellbird Park - Brookwater,2010,18358,1862,2208,4282,195,45452,46815
310041297,Camira - Gailes,2010,18415,1860,2210,4568,208,45462,46821
310041298,Carole Park,2010,0,0,0,0,0,0,0
310041299,Collingwood Park - Redbank,2010,19587,1723,1410,3879,157,40504,41317
310041300,Goodna,2010,18488,1855,2181,4678,212,45202,46534
310041301,New Chum,2010,0,0,0,0,0,0,0
310041302,Redbank Plains,2010,19528,1723,1411,7496,304,40502,41320
310041303,Springfield,2010,18349,1861,2207,3347,152,45458,46816
310041304,Springfield Lakes,2010,18420,1864,2210,5187,236,45448,46814
311011305,Beaudesert,2010,19986,6094,2530,6237,251,40239,42039
311021306,Beenleigh,2010,17171,4352,2852,4320,175,40516,41898
311021307,Eagleby,2010,17118,4351,2849,6275,254,40514,41903
311021308,Edens Landing - Holmview,2010,17087,4344,2849,3443,139,40502,41896
311021309,Mount Warren Park,2010,17112,4352,2843,2969,120,40517,41896
311021310,Wolffdene - Bahrs Scrub,2010,17083,4350,2850,2779,113,40514,41897
311031311,Boronia Heights - Park Ridge,2010,22220,2919,2467,6224,267,42840,44935
311031312,Browns Plains,2010,17919,2178,1800,3780,160,42213,43464
311031313,Chambers Flat - Logan Reserve,2010,15837,2519,2012,1877,74,39388,41554
311031314,Crestmead,2010,12305,762,2737,5314,201,37890,39001
311031315,Greenbank Military Camp,2010,0,0,0,0,0,0,0
311031316,Hillcrest,2010,19347,2407,1950,4309,182,42199,43427
311031317,Marsden,2010,12399,803,2721,5462,207,37980,39079
311031318,Munruben - Park Ridge South,2010,19287,4670,2668,2662,108,40539,43331
311031319,Regents Park - Heritage Park,2010,19354,2407,1948,8638,365,42199,43413
311041320,Greenbank,2010,21976,2427,2194,6170,267,43332,45371
311041321,Jimboomba,2010,19314,4008,2105,10387,439,42246,44480
311041322,Logan Village,2010,17387,4118,2695,3076,126,40811,42348
311051323,Bethania - Waterford,2010,17810,2632,2395,4082,158,38656,41099
311051324,Cornubia - Carbrook,2010,20898,7184,2095,4906,238,48598,49029
311051325,Loganholme - Tanah Merah,2010,22277,4055,1980,6637,297,44718,45863
311051326,Loganlea,2010,18515,1861,1693,4559,177,38753,39760
311051327,Shailer Park,2010,20765,4253,1654,6998,324,46334,47544
311051328,Waterford West,2010,15723,2506,2002,3494,138,39378,41556
311061329,Daisy Hill,2010,17681,4328,1969,4158,180,43385,44217
311061330,Kingston,2010,13405,867,1997,3634,125,34322,35837
311061331,Logan Central,2010,13342,946,1966,2273,79,34654,36145
311061332,Rochedale South - Priestdale,2010,19803,5674,2200,9260,421,45471,46052
311061333,Slacks Creek,2010,16817,3713,1974,5690,234,41062,41978
311061334,Springwood,2010,17789,4330,1970,5979,259,43365,44186
311061335,Underwood,2010,21557,5031,2680,3189,145,45405,47134
311061336,Woodridge,2010,13498,918,2000,4582,158,34406,35910
312011337,Bowen,2010,19617,6433,1576,5137,217,42255,41984
312011338,Broadsound - Nebo,2010,12851,1786,1435,5082,329,64814,72672
312011339,Clermont,2010,40008,5600,2519,2064,103,49891,57355
312011340,Collinsville,2010,17169,3803,1694,2147,100,46678,49554
312011341,Moranbah,2010,19155,871,1712,4825,365,75662,79006
312021342,Andergrove - Beaconsfield,2010,17564,7438,1316,8588,470,54716,54902
312021343,East Mackay,2010,17530,7436,1315,2169,119,54707,54899
312021344,Eimeo - Rural View,2010,17588,7438,1316,5906,323,54713,54904
312021345,Eungella Hinterland,2010,0,0,0,0,0,0,0
312021346,Mackay,2010,17541,7437,1317,2428,133,54722,54896
312021347,Mackay Harbour,2010,18864,7441,1330,278,15,54681,54799
312021348,Mount Pleasant - Glenella,2010,17687,7497,1310,6367,348,54631,54925
312021349,North Mackay,2010,17503,7439,1317,4021,220,54719,54907
312021350,Ooralea - Bakers Creek,2010,17742,7440,1317,2456,134,54719,54897
312021351,Pioneer Valley,2010,21047,5426,903,3876,208,53598,56300
312021352,Sarina,2010,21472,5584,1582,6822,360,52825,55887
312021353,Seaforth - Calen,2010,16988,7986,1179,4712,241,51068,53626
312021354,Shoal Point - Bucasia,2010,15578,5127,1644,3016,176,58404,59129
312021355,Slade Point,2010,17738,7438,1319,2299,126,54713,54908
312021356,South Mackay,2010,17662,7439,1318,4422,242,54714,54898
312021357,Walkerston - Eton,2010,14812,7023,946,4896,270,55231,56756
312021358,West Mackay,2010,17566,7437,1318,3881,212,54709,54902
312031359,Airlie - Whitsundays,2010,18693,6319,2607,7143,291,40685,40609
312031360,Cape Conway,2010,0,0,0,0,0,0,0
312031361,Proserpine,2010,16822,5811,1822,4562,194,42553,43886
313011362,Beachmere - Sandstone Point,2010,20718,3701,2713,6534,244,37377,40944
313011363,Bribie Island,2010,22609,8197,2646,8340,308,36892,41235
313021364,Burpengary - East,2010,19414,3769,1916,2035,86,42213,44667
313021365,Caboolture,2010,17644,3833,1943,10650,398,37347,39066
313021366,Caboolture - South,2010,17980,3679,1937,9334,357,38294,39841
313021367,Elimbah,2010,17441,3799,2149,2194,88,40295,42699
313021368,Morayfield - East,2010,18554,3482,1932,3853,152,39552,40849
313021369,Wamuran,2010,18943,4192,1815,2094,82,38923,41164
313031370,Kilcoy,2010,17965,8386,1865,2484,98,39244,40920
313031371,Woodford - D'Aguilar,2010,23659,4366,3669,3274,124,37782,41958
313041372,Burpengary,2010,19386,3777,1914,7186,304,42301,44783
313041373,Deception Bay,2010,18856,2571,3060,10200,390,38269,40092
313041374,Morayfield,2010,18545,3481,1924,2591,103,39556,40864
313041375,Narangba,2010,22914,2890,2018,9022,416,46115,48120
313041376,Upper Caboolture,2010,17684,3781,1942,1370,52,37663,39320
313051377,Clontarf,2010,20153,3522,2924,4160,171,41139,43901
313051378,Margate - Woody Point,2010,20109,3522,2925,5817,239,41131,43895
313051379,Redcliffe,2010,21531,6666,2617,5224,231,44295,47045
313051380,Rothwell - Kippa-Ring,2010,18936,3579,2155,8608,344,39980,42583
313051381,Scarborough - Newport,2010,21528,6731,2609,6327,281,44369,47131
314011382,Albany Creek,2010,22184,8915,2716,10136,564,55619,55126
314011383,Cashmere,2010,21826,3577,2134,9105,416,45677,46841
314011384,Dayboro,2010,21493,7633,2975,4567,226,49447,51497
314011385,Eatons Hill,2010,19226,3964,3669,4727,263,55598,56637
314011386,Hills District,2010,21777,4062,1588,13688,677,49447,51788
314011387,Samford Valley,2010,23057,11336,3318,6638,397,59759,60311
314021388,Dakabin - Kallangur,2010,18618,2891,1969,11467,499,43540,45218
314021389,Murrumba Downs - Griffin,2010,18583,2891,1968,6598,287,43541,45219
314021390,North Lakes - Mango Hill,2010,21282,2217,2823,10156,514,50643,53515
314031391,Bray Park,2010,21766,3572,2134,5904,270,45661,46823
314031392,Lawnton,2010,15851,2831,2298,3039,122,39971,42304
314031393,Petrie,2010,25008,1888,2130,5071,229,45073,47047
314031394,Strathpine - Brendale,2010,21769,3574,2134,6565,300,45676,46839
315011395,Aurukun,2010,19774,6366,1482,507,16,32316,34733
315011396,Cape York,2010,23212,3938,1250,2815,117,41641,43805
315011397,Croydon - Etheridge,2010,20272,6337,1458,477,15,32255,34716
315011398,Kowanyama - Pormpuraaw,2010,20186,6355,1489,659,21,32303,34733
315011399,Northern Peninsula,2010,7142,-167,877,795,27,33513,33787
315011400,Tablelands,2010,20383,6007,1227,2692,90,33436,36700
315011401,Torres,2010,13784,2660,2130,1337,49,36486,36373
315011402,Torres Strait Islands,2010,14250,2661,2110,1322,48,36501,36381
315011403,Weipa,2010,29909,2521,912,1405,83,58958,58855
315021404,Carpentaria,2010,15396,4100,1321,1880,70,37332,38929
315021405,Mount Isa,2010,14730,417,1417,11036,640,58020,60066
315021406,Mount Isa Region,2010,15977,6133,1469,1940,106,54363,53702
315021407,Northern Highlands,2010,23782,5707,3368,1977,71,36046,41256
315031408,Barcaldine - Blackall,2010,14060,5490,1627,2933,99,33639,38525
315031409,Charleville,2010,12557,3362,1896,2649,95,35970,40335
315031410,Far Central West,2010,8080,7356,2273,1344,52,38331,42120
315031411,Far South West,2010,24057,5432,1472,1574,57,36339,38549
315031412,Longreach,2010,17356,5480,1740,2384,97,40690,40837
316011413,Buderim - North,2010,21709,10500,3327,8991,400,44501,45142
316011414,Buderim - South,2010,21717,10499,3328,8449,376,44502,45143
316011415,Mountain Creek,2010,20675,8778,2896,4522,182,40328,40654
316011416,Sippy Downs,2010,21751,10493,3327,5348,238,44495,45137
316021417,Aroona - Currimundi,2010,21604,7215,2989,5338,208,38882,41961
316021418,Buddina - Minyama,2010,20425,11832,3385,3700,161,43501,43855
316021419,Caloundra - Kings Beach,2010,21621,7215,2990,3341,130,38887,41964
316021420,Caloundra - West,2010,21544,7213,2987,8344,324,38884,41963
316021421,Golden Beach - Pelican Waters,2010,21580,7213,2988,5641,219,38882,41957
316021422,Moffat Beach - Battery Hill,2010,21527,7215,2989,4292,167,38883,41966
316021423,Parrearra - Warana,2010,20416,11834,3388,5478,238,43508,43853
316021424,Wurtulla - Birtinya,2010,20365,11813,3384,3550,154,43481,43849
316031425,Coolum Beach,2010,26118,7319,3937,7674,308,40168,41640
316031426,Marcoola - Mudjimba,2010,22343,7234,3119,6101,239,39122,40641
316031427,Maroochydore - Kuluin,2010,19208,7368,2529,10344,387,37395,38640
316031428,Mooloolaba - Alexandra Headland,2010,22316,10136,2716,6995,293,41932,41234
316041429,Bli Bli,2010,20875,5905,2756,3750,141,37716,40369
316041430,Diddillibah - Rosemount,2010,20124,6762,2393,1904,75,39320,40875
316041431,Eumundi - Yandina,2010,21341,6997,4062,5482,207,37810,40312
316041432,Nambour,2010,20489,6171,2542,10156,387,38146,40528
316041433,Noosa Hinterland,2010,21020,7920,4096,11561,422,36507,39615
316051434,Noosa Heads,2010,27847,14569,5611,2670,113,42327,40471
316051435,Noosaville,2010,20774,13404,5274,4914,191,38769,38150
316051436,Peregian,2010,26158,7317,3940,4536,182,40169,41638
316051437,Sunshine Beach,2010,27784,14573,5618,4233,179,42336,40485
316051438,Tewantin,2010,21523,6213,3956,5554,189,34006,36983
316061439,Beerwah,2010,22088,4269,2700,3979,143,35987,40221
316061440,Caloundra Hinterland,2010,20628,7570,4403,4755,161,33947,38817
316061441,Glass House Mountains,2010,20390,4594,2196,3045,115,37649,41502
316061442,Landsborough,2010,19327,6349,2265,5288,209,39556,41577
316061443,Maroochy Hinterland,2010,19999,6632,2884,3303,121,36634,39326
316061444,Palmwoods,2010,19454,6327,3708,5788,229,39506,41788
317011445,Cambooya - Wyreema,2010,21097,5334,2069,3224,134,41422,44577
317011446,Darling Heights,2010,19644,6753,1881,6743,289,42797,43296
317011447,Drayton - Harristown,2010,19652,6754,1883,5551,238,42793,43297
317011448,Gatton,2010,19140,5391,1885,3713,130,34878,35426
317011449,Gowrie (Qld),2010,22294,4935,1653,3182,134,42111,45061
317011450,Highfields,2010,22131,5397,1691,6426,277,43045,45752
317011451,Lockyer Valley - West,2010,20308,5160,2326,5586,215,38479,41297
317011452,Middle Ridge,2010,19605,6755,1884,3606,154,42799,43294
317011453,Newtown (Qld),2010,19619,6753,1882,5257,225,42797,43301
317011454,North Toowoomba - Harlaxton,2010,19630,6755,1882,3241,139,42801,43291
317011455,Rangeville,2010,19604,6753,1881,4515,193,42793,43293
317011456,Toowoomba - Central,2010,19639,6754,1882,7311,313,42792,43296
317011457,Toowoomba - East,2010,19557,6753,1883,5524,236,42793,43297
317011458,Toowoomba - West,2010,19595,6735,1880,6268,268,42801,43331
317011459,Wilsonton,2010,19604,6753,1882,7099,304,42794,43300
318011460,Ayr,2010,15121,7301,1000,5476,238,43503,41108
318011461,Burdekin,2010,17766,7106,1180,4548,199,43655,40575
318011462,Charters Towers,2010,21295,4094,1350,4046,167,41366,46704
318011463,Dalrymple,2010,20044,4327,1410,1927,80,41715,46321
318011464,Ingham,2010,15946,5990,992,2639,115,43445,39424
318011465,Ingham Region,2010,15994,5989,994,3758,163,43426,39455
318011466,Palm Island,2010,17739,5435,1562,1074,44,40650,44694
318021467,Aitkenvale,2010,21181,3849,1786,2774,135,48597,49284
318021468,Annandale,2010,21087,3848,1785,5201,253,48594,49288
318021469,Belgian Gardens - Pallarenda,2010,22990,8867,2470,2296,128,55699,52575
318021470,Bohle Plains,2010,20439,2578,1452,3323,160,48189,48960
318021471,Condon - Rasmussen,2010,21896,2098,1484,5418,236,43556,44925
318021472,Cranbrook,2010,21128,3849,1784,3474,169,48591,49293
318021473,Deeragun,2010,19821,2596,1771,8620,428,49619,50679
318021474,Douglas,2010,21131,3846,1784,4063,197,48593,49286
318021475,Garbutt - West End,2010,22368,7230,2263,4223,225,53336,51461
318021476,Gulliver - Currajong - Vincent,2010,19710,4048,1627,4556,218,47764,48160
318021477,Heatley,2010,21100,3848,1783,2381,116,48602,49294
318021478,Hermit Park - Rosslea,2010,19106,4135,1558,2874,136,47409,47672
318021479,Hyde Park - Pimlico,2010,19110,4140,1551,2727,129,47386,47647
318021480,Kelso,2010,21869,2095,1484,5359,233,43525,44892
318021481,Kirwan - East,2010,20504,2596,1454,4907,237,48192,48962
318021482,Kirwan - West,2010,20454,2598,1457,9551,460,48195,48960
318021483,Magnetic Island,2010,20788,4079,2355,1220,46,37762,40198
318021484,Mount Louisa,2010,20980,3825,1787,4454,217,48615,49323
318021485,Mundingburra,2010,19051,4138,1552,2175,103,47383,47656
318021486,Northern Beaches,2010,19366,3149,1720,3283,158,47976,49687
318021487,Oonoonba,2010,19371,3261,2183,2911,140,48027,49031
318021488,South Townsville - Railway Estate,2010,22994,8865,2472,3388,189,55686,52561
318021489,Townsville - South,2010,18138,5318,1687,1884,80,42225,45654
318021490,Townsville City - North Ward,2010,23019,8867,2469,5719,319,55694,52569
318021491,Wulguru - Roseneath,2010,19328,3264,2182,3361,161,48019,49022
319011492,Ashfield - Kepnock,2010,19419,5706,1871,2519,96,37929,39564
319011493,Bargara - Burnett Heads,2010,19494,5705,1874,7773,295,37926,39564
319011494,Branyan - Kensington,2010,19457,5706,1874,1966,75,37929,39560
319011495,Bundaberg,2010,19575,5706,1871,3127,119,37931,39566
319011496,Bundaberg East - Kalkie,2010,19522,5704,1877,2639,100,37928,39554
319011497,Bundaberg North - Gooburrum,2010,19568,5704,1873,3687,140,37931,39561
319011498,Bundaberg Region - North,2010,18867,5484,2025,4056,152,37346,39515
319011499,Bundaberg Region - South,2010,20225,5319,2395,4832,163,33651,36753
319011500,Millbank - Avoca,2010,19543,5705,1873,3870,147,37922,39561
319011501,Svensson Heights - Norville,2010,19573,5706,1870,2913,111,37931,39569
319011502,Walkervale - Avenell Heights,2010,19496,5705,1874,5564,211,37927,39562
319021503,Gayndah - Mundubbera,2010,17838,5479,2441,3745,114,30446,32277
319021504,Gin Gin,2010,18972,3330,2847,2282,68,29970,37411
319021505,Kingaroy,2010,15668,4436,1697,5024,198,39452,43689
319021506,Kingaroy Region - North,2010,14463,3506,1964,4244,131,30935,36592
319021507,Kingaroy Region - South,2010,15864,4517,1674,1899,74,38859,43157
319021508,Monto - Eidsvold,2010,19508,4363,2047,1970,57,28788,38213
319021509,Nanango,2010,18782,2697,2521,4268,158,36972,42321
319021510,North Burnett,2010,0,2075,205,0,0,0,0
319031511,Cooloola,2010,21399,5759,3095,2481,75,30295,34549
319031512,Gympie - North,2010,21599,4562,1953,6546,227,34610,38783
319031513,Gympie - South,2010,21571,4563,1950,3123,108,34607,38780
319031514,Gympie Region,2010,21555,4729,2053,8396,291,34671,38791
319031515,Kilkivan,2010,17900,5085,3541,1744,53,30603,37553
319041516,Booral - River Heads,2010,19954,5083,3008,1940,69,35579,39046
319041517,Craignish - Dundowran Beach,2010,19942,5085,3013,2092,74,35586,39049
319041518,Pialba - Eli Waters,2010,19872,5085,3011,5872,209,35583,39043
319041519,Point Vernon,2010,19841,5085,3015,2654,95,35589,39040
319041520,Torquay - Scarness - Kawungan,2010,19912,5085,3010,6765,241,35584,39044
319041521,Urangan - Wondunna,2010,19917,5085,3011,5310,189,35584,39041
319051522,Burrum - Fraser,2010,19345,4100,3090,3754,124,32947,38589
319051523,Granville,2010,18479,4087,2386,1490,55,36873,40384
319051524,Maryborough (Qld),2010,18496,4089,2389,8571,316,36866,40379
319051525,Maryborough Region - South,2010,18780,4241,2215,3669,131,35671,39852
319051526,Tinana,2010,18510,4087,2382,2298,85,36871,40390
401011001,Adelaide,2010,32923,15160,4346,7073,393,55526,47446
401011002,North Adelaide,2010,35040,32966,4818,4352,329,75574,54600
401021003,Adelaide Hills,2010,27907,7704,1895,4153,187,45073,45626
401021004,Aldgate - Stirling,2010,29354,12374,3340,11569,675,58337,54827
401021005,Hahndorf - Echunga,2010,25569,9815,3399,2669,127,47394,47706
401021006,Lobethal - Woodside,2010,22918,8014,2031,5339,238,44644,44904
401021007,Mount Barker,2010,24665,6387,2188,8547,377,44103,44194
401021008,Mount Barker Region,2010,25384,6657,2199,3509,148,42104,43734
401021009,Nairne,2010,21820,3148,1672,2478,101,40758,42409
401021010,Uraidla - Summertown,2010,27604,10375,2386,3264,170,51927,50028
401031011,Burnside - Wattle Park,2010,30916,18418,4226,11538,731,63347,55087
401031012,Glenside - Beaumont,2010,33694,21907,3884,5948,410,68982,58530
401031013,Toorak Gardens,2010,28750,19853,3026,10092,666,65999,56727
401041014,Athelstone,2010,26157,7194,2052,5877,270,45983,45961
401041015,Paradise - Newton,2010,25059,5742,1962,10200,409,40132,41664
401041016,Rostrevor - Magill,2010,26095,9319,2859,11796,556,47116,46749
401051017,Norwood (SA),2010,27905,16812,2783,6154,384,62471,53872
401051018,Payneham - Felixstow,2010,26078,9947,2447,6879,343,49826,47626
401051019,St Peters - Marden,2010,27006,14441,2354,7800,469,60069,52640
401061020,Nailsworth - Broadview,2010,26739,13132,2008,3476,191,54799,49187
401061021,Prospect,2010,26714,7684,1856,8332,421,50550,48712
401061022,Walkerville,2010,32465,28540,2833,4447,330,74296,56245
401071023,Goodwood - Millswood,2010,27546,13623,3416,10850,654,60268,53113
401071024,Unley - Parkside,2010,29877,16875,2894,12668,842,66466,56929
402011025,Gawler - North,2010,25599,5156,1937,5051,219,43413,44460
402011026,Gawler - South,2010,23772,4083,2074,9415,398,42283,43646
402011027,Lewiston - Two Wells,2010,22685,4863,1489,2769,111,39927,41984
402021028,Craigmore - Blakeview,2010,21358,2494,2339,8271,334,40388,41250
402021029,Davoren Park,2010,20173,2074,2483,6760,255,37722,38740
402021030,Elizabeth,2010,19906,1378,2126,4131,150,36310,38390
402021031,Elizabeth East,2010,19660,1289,2235,4816,171,35428,37303
402021032,Munno Para West - Angle Vale,2010,18709,3404,2062,4073,158,38688,40800
402021033,One Tree Hill,2010,22231,2912,2238,1242,51,40806,41705
402021034,Smithfield - Elizabeth North,2010,18482,1535,2750,4703,165,35106,36330
402021035,Virginia - Waterloo Corner,2010,18401,13106,2401,2038,78,38185,39886
402031036,Enfield - Blair Athol,2010,22439,3161,1417,10052,397,39507,41606
402031037,Northgate - Oakden - Gilles Plains,2010,21158,2443,1611,10707,432,40309,42903
402031038,Windsor Gardens,2010,21144,2959,1780,9971,405,40587,42722
402041039,Dry Creek - North,2010,0,0,0,0,0,0,0
402041040,Ingle Farm,2010,22351,2003,2006,7832,308,39282,41850
402041041,Para Hills,2010,23100,3323,2575,7943,320,40259,41753
402041042,Parafield,2010,0,7524,1251,28,1,35535,40654
402041043,Parafield Gardens,2010,19579,2209,1900,7466,277,37151,38604
402041044,Paralowie,2010,19318,2035,2326,7666,287,37439,38969
402041045,Pooraka,2010,20416,3499,2252,10084,458,45423,46969
402041046,Salisbury,2010,21034,2513,2368,7815,297,37988,39492
402041047,Salisbury East,2010,24915,3728,2530,9234,370,40100,41540
402041048,Salisbury North,2010,17880,2227,2221,7494,285,37980,39572
402051049,Golden Grove,2010,23198,4199,2201,5602,268,47811,48759
402051050,Greenwith,2010,23234,4206,2203,5403,259,47885,48845
402051051,Highbury - Dernancourt,2010,28419,6376,2545,6329,288,45427,46472
402051052,Hope Valley - Modbury,2010,22569,3188,2054,8797,346,39281,41920
